symbolSize,value,draggable,category,label
47.5,84,False,BOB,{'normal': {'show': 'True'}}
24.5,42,False,冰河鱼丸,{'normal': {'show': 'True'}}
19.5,34,False,木须柿子,{'normal': {'show': 'True'}}
13.5,22,False,布瓜,{'normal': {'show': 'True'}}
25.5,45,False,胖子,{'normal': {'show': 'True'}}
21.0,34,False,木林,{'normal': {'show': 'True'}}
19.5,33,False,鸡冠壶,{'normal': {'show': 'True'}}
195.0,371,False,冰河,{'normal': {'show': 'True'}}
229.0,442,False,velo,{'normal': {'show': 'True'}}
106.0,201,False,陈佳,{'normal': {'show': 'True'}}
26.0,45,False,banane,{'normal': {'show': 'True'}}
19.0,33,False,小焉,{'normal': {'show': 'True'}}
13.5,21,False,田高,{'normal': {'show': 'True'}}
48.0,86,False,deepblue,{'normal': {'show': 'True'}}
18.5,29,False,漂流瓶,{'normal': {'show': 'True'}}
106.5,202,False,秋千,{'normal': {'show': 'True'}}
14.0,23,False,lucky_xrg,{'normal': {'show': 'True'}}
17.0,30,False,非男,{'normal': {'show': 'True'}}
17.0,29,False,子龙,{'normal': {'show': 'True'}}
34.0,61,False,非非,{'normal': {'show': 'True'}}
22.0,40,False,kiwi,{'normal': {'show': 'True'}}
14.5,24,False,甲虫,{'normal': {'show': 'True'}}
38.0,69,False,南瓜乙,{'normal': {'show': 'True'}}
21.5,38,False,王珏,{'normal': {'show': 'True'}}
69.5,132,False,燕燕,{'normal': {'show': 'True'}}
17.0,29,False,考拉,{'normal': {'show': 'True'}}
30.5,55,False,夹子,{'normal': {'show': 'True'}}
39.0,71,False,perhaps,{'normal': {'show': 'True'}}
35.0,65,False,cat,{'normal': {'show': 'True'}}
14.5,25,False,麻,{'normal': {'show': 'True'}}
173.5,335,False,斯图,{'normal': {'show': 'True'}}
47.5,87,False,游戏王,{'normal': {'show': 'True'}}
56.5,108,False,奥德赛,{'normal': {'show': 'True'}}
38.0,69,False,Odyssey,{'normal': {'show': 'True'}}
24.0,42,False,球球,{'normal': {'show': 'True'}}
52.0,97,False,梧桐,{'normal': {'show': 'True'}}
175.5,346,False,天天,{'normal': {'show': 'True'}}
211.0,394,False,icy,{'normal': {'show': 'True'}}
86.5,165,False,煮了你当早茶,{'normal': {'show': 'True'}}
