source,target,value
枢辰,枢辰,776
飞轮,shui,293
飞轮,yang,146
飞轮,骆驼,356
飞轮,樱木,723
飞轮,zycchen,8
飞轮,starryday,719
飞轮,原子,320
飞轮,继缘,17
飞轮,凯文卡特,211
飞轮,外星人BT,114
飞轮,bobo,211
飞轮,ft,205
飞轮,薛金断玉,184
飞轮,风,291
飞轮,ciwei,54
crab,小鸟,20
crab,外星人BT,2
crab,凯文卡特,404
crab,毛毛虫,10
crab,泡菜,15
crab,winddancer,9
SUPPERMAN,泡菜,20
SUPPERMAN,飞轮,283
SUPPERMAN,david,226
goldsupper,goldsupper,5065
goldsupper,岛礁,9
goldsupper,鱼,219
goldsupper,金鱼,290
goldsupper,光头飞车,8
goldsupper,向日葵,432
goldsupper,掌网人,77
goldsupper,不韦,25
goldsupper,海狸,327
goldsupper,Lucy,319
goldsupper,鸽子,424
ciwei,ciwei,2519
ciwei,阿风,240
ciwei,reater,1217
ciwei,岛礁,366
ciwei,凯文卡特,490
ciwei,海狸,314
ciwei,毛毛虫,125
ciwei,大熊,85
ciwei,光头飞车,966
ciwei,掌网人,7
david,风,150
david,短歌,219
david,bigpower,367
david,鱼,239
david,金鱼,241
david,大熊,80
david,shui,1503
david,泡菜,120
david,阿风,1742
风,liyou,708
风,蓝湖,156
风,reater,308
bobotree,bruce,61
bobotree,fairyplant,517
bobotree,然丁大法师,32
bobotree,winddancer,196
bobotree,光头飞车,432
bobotree,reater,233
bobotree,阿风,1418
bobotree,飞轮,887
bobotree,凯文卡特,384
donima,robber,364
donima,starryday,293
风,鸽子,293
风,泡菜,126
风,毛毛虫,47
风,海狸,478
风,飞轮,790
雨诗,岛礁,939
雨诗,飞轮,178
雨诗,骆驼,185
雨诗,主席,325
极限飞车,飞轮,1175
极限飞车,david,197
极限飞车,光头飞车,29
岛礁,岛礁,1865
后现代,littlebear,8
后现代,f.s.s.,60
后现代,骆驼,27
后现代,金鱼,11
后现代,tanyueer,28
后现代,starryday,178
后现代,winddancer,186
bobotree,f.s.s.,1136
bobotree,椰风,24
bobotree,樱桃花开,639
bobotree,外星人BT,660
bobotree,芋头,798
bobotree,枢辰,863
bobotree,葫芦,1132
bobotree,pig,38
f.s.s.,bobotree,2
f.s.s.,椰风,171
f.s.s.,外星人BT,281
f.s.s.,李子,236
f.s.s.,泡菜,862
f.s.s.,芋头,226
f.s.s.,starryday,232
f.s.s.,tanyueer,669
f.s.s.,winddancer,58
f.s.s.,樱桃花开,16
f.s.s.,peonytown,190
f.s.s.,不行了,204
f.s.s.,海狸,206
f.s.s.,凯文卡特,176
f.s.s.,空门,320
f.s.s.,死不了,48
f.s.s.,飞轮,256
f.s.s.,moustach,239
starryday,海狸,1013
starryday,薛金断玉,83
starryday,凯文卡特,69
starryday,tanyueer,220
starryday,白薇,80
starryday,鸭子,173
starryday,咖啡少爷,245
starryday,毛毛虫,454
starryday,阿薰,104
starryday,骆驼,80
starryday,光头飞车,112
starryday,燃灯大法师,8
starryday,纪元,150
海狸,robber,1766
海狸,凯文卡特,574
海狸,猫豆,1859
海狸,fairyplant,184
海狸,毛毛虫,75
海狸,liyou,32
海狸,小鸟,41
海狸,黑鬼,23
海狸,bigpower,450
海狸,鸭子,423
海狸,tanyueer,313
海狸,骆驼,664
海狸,椰风,29
海狸,原子,553
海狸,f.s.s.,686
海狸,阿风,1069
海狸,泡菜,1727
海狸,外星人BT,40
海狸,燃灯大法师,479
xiafeng,金鱼,3
xiafeng,椰风,3
xiafeng,winddancer,209
xiafeng,光头飞车,12
xiafeng,泡菜,279
xiafeng,鸽子,62
xiafeng,猫豆,347
xiafeng,枢辰,4
xiafeng,海狸,225
xiafeng,reater,443
liyou,winddancer,107
liyou,小修理工,145
liyou,泡菜,499
liyou,liyou,838
liyou,泥巴,28
liyou,不韦,73
liyou,纪元,481
robber,robber,1052
robber,鸭子,440
robber,reater,156
robber,猫豆,11
robber,凯文卡特,163
robber,外星人BT,28
robber,骆驼,242
robber,energid,212
robber,谷子,94
robber,海狸,1727
阿风,燃灯大法师,446
阿风,阿风,19442
阿风,流水,42
阿风,长弓雨晨,243
阿风,毛毛虫,28
阿风,外星人BT,99
阿风,高武,239
阿风,光头飞车,601
阿风,赤色火焰,105
阿风,liyou,206
阿风,海狸,373
阿风,凯文卡特,333
阿风,曙光,260
阿风,泡菜,838
阿风,不行了,35
阿风,戴帽子的海狸,104
阿风,继缘,670
小小,骆驼祥子,3
鸽子,jasal,30
鸽子,小鸟,31
鸽子,海豹,54
鸽子,cruelfox,71
鸽子,泡菜,84
鸽子,骆驼祥子,28
鸽子,三毛,291
鸽子,大梦,9
鸽子,reater,189
鸽子,阿秀,106
鸽子,晃晃,216
鸽子,鸽子,2766
鸽子,海狸,483
everest,stream,108
everest,葫芦,342
everest,悄悄,329
三毛,goldsupper,116
三毛,三毛,1320
三毛,海豹,139
三毛,小鸟,45
三毛,极限飞车,361
三毛,毛毛虫,9
三毛,reater,3
三毛,骆驼,253
三毛,阿风,220
三毛,天体,44
三毛,海狸,290
三毛,雨诗,27
三毛,凯文卡特,308
三毛,晃晃,155
米哈,极限飞车,178
米哈,光头飞车,13
米哈,阿风,327
米哈,兔子,67
米哈,fairyplant,34
米哈,外星人BT,13
米哈,米哈,9
soho-s,骆驼,88
soho-s,soho-s,80
soho-s,三毛,250
soho-s,兔子,55
soho-s,泡菜,227
骆驼,泡菜,118
骆驼,三毛,487
骆驼,骆驼,291
骆驼,泥巴,274
骆驼,海豹,15
骆驼,椰风,3
骆驼,燃灯大法师,45
骆驼,ciwei,10
骆驼,阿风,175
骆驼,peonytown,149
骆驼,w_dw,9
骆驼,咖啡少爷,186
枢辰,樱木,10
枢辰,毛毛虫,339
枢辰,baby,26
f.s.s.,风,92
f.s.s.,猫豆,2
